"ABC_D"	"MNO_G"	"JKL_A"	"VXW_E"	"DEF_G"	"MNO_B"	"MNO_D"	"ABC_E"	"JKL_B"	"ABC_B"	"PQR_E"	"MNO_D"	"JKL_A"	"STU_E"	"PQR_A"	"ABC_G"	"GHI_D"	"MNO_G"	"MNO_A"	"GHI_E"	"GHI_D"	"VXW_E"	"VXW_D"	"MNO_G"	"STU_G"	"MNO_D"	"STU_D"	"ABC_A"	"PQR_D"	"VXW_E"
"1"	1.18188608046992	0.385677393356777	-2.07394434209756	NA	-1.81220876656509	NA	0.394243886148578	-0.280901532105093	NA	NA	-0.586287195425144	0.346926438166205	0.170610971034016	-0.74892588722763	0.297378756993915	-0.912467694365838	NA	-0.624253784114616	NA	1.45437975402357	NA	-1.64996900366407	0.787128450649039	-0.463541842240918	-1.2107815254378	0.22309886096413	-0.875539610332353	-1.19692231082283	-1.07181275732685	-0.398790703388055
"2"	NA	NA	-1.54399060890001	NA	-0.829543129651342	-0.782221527987481	-1.18749630873737	1.62027983174649	NA	0.466594186754915	NA	-0.898132015960056	-0.0315916215789666	0.853650165144843	-0.975313439772793	NA	-0.689250874767038	NA	NA	0.652125030282585	-1.10978246897218	-0.691464068979073	-1.50951308660084	2.4288767517405	0.599007402570055	0.82210647429149	-0.617879082688572	-0.0014651199741332	0.703475345709532	-0.36751119441851
"3"	0.153152088431785	-0.841042068816302	2.10947206304181	-1.20529502213304	NA	-0.720062431924749	1.34457154324076	NA	-1.76406086942522	0.120045756591438	0.0662225338093187	1.23268540082157	-0.975196607476169	-0.490809414766241	0.158200614994583	0.528427660310027	1.04089533277259	-0.588317877361536	-0.549392207439869	-0.168214537711611	-0.359435182673816	0.755837184712747	NA	0.161885313825835	0.776946012010342	NA	-0.32155103147298	-0.879726771367467	-1.73905459430603	0.0655855154209517
"4"	NA	0.439414483052242	-0.548887255379807	-1.19026385605949	0.419027649004341	-0.558690195206094	0.435482005394442	0.648286590095911	0.0552961151355864	-0.233841792200896	NA	0.466930998475961	NA	-0.747452315813346	-1.31422631388266	-0.12516012150587	NA	-1.20825753999088	-0.482192032910455	-1.32851802113426	-0.240119453933899	-0.743010174357396	1.0105435910788	-1.85184346568739	1.11023822616756	1.4320056900109	0.507461554168052	-1.45855477288018	0.720361701314736	0.0612632710817429
"5"	-0.416961719459331	NA	-0.478872921686437	-0.848633333931508	NA	0.396632350387398	-0.0477043346846032	-2.13240108860006	0.633981132419251	NA	1.31587687859632	0.45572083318916	-0.750254452099547	-0.0495478057328365	-0.0574005127401541	-0.223797425692367	1.48255900688856	-0.0715299785212302	0.657660081877991	-0.872695626814627	-1.22602277813454	0.792013683193871	NA	-0.7292959176021	-0.0753641865517565	0.361387070058127	-0.526037722975497	-2.79181678404848	-0.16392548604618	NA
"6"	-0.413470114057617	0.728343280202975	NA	NA	NA	-0.546796569073691	-1.76681294762775	NA	-0.127638924789409	1.1284098848363	0.213938051110797	NA	0.492871611066661	-0.95333036191893	-0.975316558828782	0.553027304371142	0.0166394554508704	NA	NA	2.2306989402547	1.19544059319262	0.437628870965002	0.512754923983974	NA	1.56713458684791	0.737692402302684	0.767352929741192	-1.21992236440892	-0.634656653512492	0.1995208948724
"7"	-0.277528658720362	1.61388341226325	-0.887112485537158	NA	0.530206017306663	0.690942009287931	NA	1.72904254320392	-0.49182550479515	1.22341011889253	-0.0506606220359568	0.227731487381397	-0.0310599726833298	-2.43415996838477	0.727403100617068	-0.81813789057719	1.67771336612088	-0.657369207661927	1.2320051361638	NA	-0.109189412798394	-0.710166694784159	0.607943212934716	NA	0.320264318369099	-0.349327050260659	-2.80748943846427	2.37030190619674	0.0372912429505734	-0.60257003774599
"8"	NA	1.33818483981183	0.0917145773864811	-0.352198567545271	-0.540099524311783	-0.891150084790405	0.0651450922264175	-0.705866918843416	NA	-0.987777421636716	-0.482022978640474	-0.0225980310686318	-0.0763853177719808	0.512297366453361	NA	0.783202726235734	0.0921190876829762	1.9569765649774	NA	0.367292827067411	NA	1.14240165325194	0.0872844209375513	0.563997054304178	0.965992818273854	0.789177328394028	NA	0.442282264483748	0.310642063873654	0.0459014501576117
"9"	NA	NA	-2.03234673697495	-0.614424354762684	NA	-0.954973749087224	NA	-0.523208451838403	NA	-1.39920483591281	-0.118735045043106	0.704500373195668	NA	-0.930807577091129	1.13390306458906	NA	0.380676284210379	-0.667745909536902	0.391313855185824	-2.79197433360315	-0.311456737415385	-0.626986261881875	1.35732582632612	0.458679207420104	0.0638457235721063	0.971663570997877	NA	0.486702796184904	0.030412168256706	0.110235632690258
"10"	NA	1.11392044934423	-1.64389844680163	-0.133465325050245	NA	-0.749866995573386	NA	-0.753378459855293	0.967799384795328	-0.540355441251104	0.333848547755019	-1.03122619481134	-0.239030866928057	0.858558780828481	-0.321700459885916	-0.821917245461132	-1.70567715140102	0.977799913852003	0.563707270797635	0.197090974513327	0.236952617840443	0.774352696552054	1.43966441125369	NA	0.239811875841539	-0.569709963848795	-0.434794563574809	NA	0.255264655640866	-0.177494395905125
"11"	0.775031202189971	0.231244030670213	NA	1.1029456792467	0.460892099621932	-2.0290838341293	0.720816203075425	0.85970802994233	NA	-0.553093203423059	-0.735161959717247	-0.710498169274427	NA	0.528700859053296	NA	NA	-0.127961299882369	0.223052687748846	2.12503432558722	-0.0156320212268959	-0.587745131538376	0.50726995253047	NA	1.65070041027115	NA	NA	2.43021622245123	0.657758575166083	-0.616077758624638	0.562376095413884
"12"	-0.645647936284594	0.45551346491135	-0.662697840047638	-0.770035073118518	0.162550394966167	-1.22770004593964	-0.343491567901084	0.890557529402541	NA	NA	-1.45735995824792	1.98223993664729	-0.972306005865906	-0.0452756118973449	0.671201840576353	1.39725668758695	-0.218377622661065	-0.356406045790246	0.59436565833246	NA	NA	-0.356844805196137	0.301401591256035	NA	-0.42914363111226	-1.82518075805066	-0.35662494140109	0.124689959242142	0.599236057712613	NA
"13"	1.96845884213272	-1.48559075370998	-0.437275389501638	0.0218325565046421	NA	-0.631925351023864	NA	0.746214153458107	-0.189458338675157	1.09518617798431	-0.238622089309371	-1.49632442832567	2.06288714121485	0.0867681621497136	0.605592059859294	NA	0.859250092845821	0.182880484703307	1.21276591601853	0.54953272718056	-0.0635898333245697	1.26244508130393	1.00193771931667	0.637662773644384	-0.559431459228526	-0.877078425641839	0.494453053039794	0.576978153384383	NA	-0.00218455406432916
"14"	-1.00761652980528	NA	-0.0335499465676453	0.2922652818624	0.859869098755447	NA	-1.36148837917224	-1.3102644604452	1.72658237259479	-0.92040160074375	-0.116896946831776	NA	0.0778378105351025	NA	NA	0.233057205875915	-0.308692628183413	0.833176916476575	0.470364398682621	NA	1.37702756428253	-0.940812097213111	-0.589915157012571	NA	0.869574981578365	0.436996241291265	0.597475009334455	-1.31198051166542	0.891461692751777	2.01257185996024
